id,status,sent_at,relationship_tag,contact_id,message_id,user_id,user_phone_id
31007,sent,12/4/24 19:16,Botox,28765,7,1,3
31552,sent,12/5/24 11:10,Botox,28765,8,1,3
32260,sent,12/6/24 11:51,Botox,28765,9,1,3
32936,lead_created,12/7/24 12:40,Botox,28765,61,1,3
30532,sent,12/2/24 12:19,Botox,28764,7,1,3
30216,sent,11/28/24 17:51,Botox,28763,7,1,3
30194,sent,11/28/24 17:46,Botox,28762,7,1,3
30192,sent,11/28/24 17:45,Botox,28761,7,1,3
30184,sent,11/28/24 17:42,Botox,28760,7,1,3
29333,sent,11/27/24 9:11,Botox,28759,7,1,3
29909,sent,11/28/24 15:23,Botox,28759,8,1,3
30636,sent,12/2/24 13:00,Botox,28759,9,1,3
28789,sent,11/26/24 10:58,Botox,28758,7,1,3
29514,sent,11/27/24 10:11,Botox,28758,8,1,3
30085,sent,11/28/24 16:31,Botox,28758,9,1,3
28144,sent,11/23/24 11:28,Botox,28756,7,1,3
29207,sent,11/26/24 13:27,Botox,28756,8,1,3
30249,sent,11/28/24 17:58,Botox,28756,9,1,3
28143,sent,11/23/24 11:28,Botox,28755,7,1,3
29206,sent,11/26/24 13:27,Botox,28755,8,1,3
30248,sent,11/28/24 17:58,Botox,28755,9,1,3
28142,sent,11/23/24 11:28,Botox,28754,7,1,3
29205,sent,11/26/24 13:26,Botox,28754,8,1,3
30247,sent,11/28/24 17:58,Botox,28754,9,1,3
28141,sent,11/23/24 11:27,Botox,28753,7,1,3
29204,sent,11/26/24 13:25,Botox,28753,8,1,3
30246,sent,11/28/24 17:57,Botox,28753,9,1,3
28140,sent,11/23/24 11:27,Botox,28752,7,1,3
29203,sent,11/26/24 13:24,Botox,28752,8,1,3
30245,sent,11/28/24 17:57,Botox,28752,9,1,3
28139,sent,11/23/24 11:27,Botox,28751,7,1,3
29202,sent,11/26/24 13:23,Botox,28751,8,1,3
30244,sent,11/28/24 17:57,Botox,28751,9,1,3
28138,sent,11/23/24 11:27,Botox,28750,7,1,3
29201,sent,11/26/24 13:23,Botox,28750,8,1,3
30243,sent,11/28/24 17:57,Botox,28750,9,1,3
28137,sent,11/23/24 11:26,Botox,28749,7,1,3
29200,sent,11/26/24 13:22,Botox,28749,8,1,3
30242,sent,11/28/24 17:56,Botox,28749,9,1,3
28136,sent,11/23/24 11:26,Botox,28748,7,1,3
29199,sent,11/26/24 13:21,Botox,28748,8,1,3
30241,sent,11/28/24 17:56,Botox,28748,9,1,3
28135,sent,11/23/24 11:26,Botox,28747,7,1,3
29198,sent,11/26/24 13:21,Botox,28747,8,1,3
30240,sent,11/28/24 17:56,Botox,28747,9,1,3
28134,sent,11/23/24 11:26,Botox,28746,7,1,3
29197,sent,11/26/24 13:20,Botox,28746,8,1,3
30239,sent,11/28/24 17:56,Botox,28746,9,1,3
28133,sent,11/23/24 11:25,Botox,28745,7,1,3
29196,sent,11/26/24 13:19,Botox,28745,8,1,3
30238,sent,11/28/24 17:56,Botox,28745,9,1,3
28132,sent,11/23/24 11:25,Botox,28744,7,1,3
29195,sent,11/26/24 13:18,Botox,28744,8,1,3
30237,sent,11/28/24 17:55,Botox,28744,9,1,3
28131,sent,11/23/24 11:25,Botox,28743,7,1,3
29194,sent,11/26/24 13:17,Botox,28743,8,1,3
30236,sent,11/28/24 17:55,Botox,28743,9,1,3
28130,sent,11/23/24 11:25,Botox,28742,7,1,3
29193,sent,11/26/24 13:17,Botox,28742,8,1,3
30235,sent,11/28/24 17:55,Botox,28742,9,1,3
28129,sent,11/23/24 11:24,Botox,28741,7,1,3
29192,sent,11/26/24 13:16,Botox,28741,8,1,3
30234,sent,11/28/24 17:55,Botox,28741,9,1,3
28128,sent,11/23/24 11:24,Botox,28740,7,1,3
29191,sent,11/26/24 13:15,Botox,28740,8,1,3
30233,sent,11/28/24 17:54,Botox,28740,9,1,3
28127,sent,11/23/24 11:24,Botox,28739,7,1,3
29190,sent,11/26/24 13:14,Botox,28739,8,1,3
30232,sent,11/28/24 17:54,Botox,28739,9,1,3
28126,sent,11/23/24 11:24,Botox,28738,7,1,3
29189,sent,11/26/24 13:14,Botox,28738,8,1,3
30231,sent,11/28/24 17:54,Botox,28738,9,1,3
28125,sent,11/23/24 11:23,Botox,28737,7,1,3
29188,sent,11/26/24 13:13,Botox,28737,8,1,3
30230,sent,11/28/24 17:54,Botox,28737,9,1,3
28124,sent,11/23/24 11:23,Botox,28736,7,1,3
29187,sent,11/26/24 13:12,Botox,28736,8,1,3
30229,sent,11/28/24 17:54,Botox,28736,9,1,3
28123,sent,11/23/24 11:23,Botox,28735,7,1,3
29186,sent,11/26/24 13:12,Botox,28735,8,1,3
30228,sent,11/28/24 17:53,Botox,28735,9,1,3
28122,sent,11/23/24 11:23,Botox,28734,7,1,3
29185,sent,11/26/24 13:11,Botox,28734,8,1,3
30227,sent,11/28/24 17:53,Botox,28734,9,1,3
28121,sent,11/23/24 11:22,Botox,28733,7,1,3
29184,sent,11/26/24 13:10,Botox,28733,8,1,3
30226,sent,11/28/24 17:53,Botox,28733,9,1,3
28119,sent,11/23/24 11:22,Botox,28732,7,1,3
29182,sent,11/26/24 13:08,Botox,28732,8,1,3
30225,sent,11/28/24 17:53,Botox,28732,9,1,3
28118,sent,11/23/24 11:22,Botox,28731,7,1,3
29181,sent,11/26/24 13:08,Botox,28731,8,1,3
30224,sent,11/28/24 17:52,Botox,28731,9,1,3
28117,sent,11/23/24 11:21,Botox,28730,7,1,3
29180,sent,11/26/24 13:07,Botox,28730,8,1,3
